,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
2648,11-9141.00,"Property, Real Estate, and Community Association Managers",Google Drive,43233513,Cloud-based data access and sharing software,Y
2737,11-9161.00,Emergency Management Directors,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
2855,11-9199.01,Regulatory Affairs Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
2856,11-9199.01,Regulatory Affairs Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2931,11-9199.02,Compliance Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
2932,11-9199.02,Compliance Managers,Microsoft Visio,43231518,Process mapping and design software,Y
2969,11-9199.08,Loss Prevention Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3001,11-9199.10,Wind Energy Development Managers,ESRI ArcGIS software,43232510,Geographic information system,Y
3007,11-9199.10,Wind Energy Development Managers,Microsoft Visio,43231518,Process mapping and design software,Y
3027,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3097,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Enterprise risk management software ERMS,43232620,Risk management data and analysis software,N
3115,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3177,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3178,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Microsoft Visio,43231518,Process mapping and design software,Y
3311,13-1041.01,Environmental Compliance Inspectors,Geographic information system GIS software,43232510,Geographic information system,Y
3320,13-1041.01,Environmental Compliance Inspectors,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3351,13-1041.03,Equal Opportunity Representatives and Officers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3373,13-1041.04,Government Property Inspectors and Investigators,Esri ArcGIS,43232510,Geographic information system,N
3442,13-1041.07,Regulatory Affairs Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3444,13-1041.07,Regulatory Affairs Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
3516,13-1051.00,Cost Estimators,Microsoft Visio,43231518,Process mapping and design software,Y
3584,13-1071.00,Human Resources Specialists,ESRI ArcGIS software,43232510,Geographic information system,Y
3641,13-1071.00,Human Resources Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
3723,13-1074.00,Farm Labor Contractors,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3741,13-1075.00,Labor Relations Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3758,13-1081.00,Logisticians,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3760,13-1081.00,Logisticians,Microsoft Visio,43231518,Process mapping and design software,Y
3797,13-1081.01,Logistics Engineers,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3799,13-1081.01,Logistics Engineers,Microsoft Visio,43231518,Process mapping and design software,Y
3826,13-1081.02,Logistics Analysts,ESRI ArcLogistics,43232510,Geographic information system,N
3845,13-1081.02,Logistics Analysts,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
3925,13-1082.00,Project Management Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
4089,13-1111.00,Management Analysts,Microsoft Visio,43231518,Process mapping and design software,Y
4187,13-1121.00,"Meeting, Convention, and Event Planners",Google Drive,43233513,Cloud-based data access and sharing software,Y
4299,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
4415,13-1151.00,Training and Development Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
4496,13-1161.00,Market Research Analysts and Marketing Specialists,ESRI ArcGIS software,43232510,Geographic information system,Y
4544,13-1161.00,Market Research Analysts and Marketing Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
4641,13-1161.01,Search Marketing Strategists,Microsoft Visio,43231518,Process mapping and design software,Y
4684,13-1199.04,Business Continuity Planners,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
4686,13-1199.04,Business Continuity Planners,Microsoft Visio,43231518,Process mapping and design software,Y
4722,13-1199.05,Sustainability Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
4723,13-1199.05,Sustainability Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
4765,13-1199.06,Online Merchants,IBM WebSphere,43232806,Cloud-based management software,Y
4784,13-1199.06,Online Merchants,Microsoft Visio,43231518,Process mapping and design software,Y
4814,13-1199.07,Security Management Specialists,ArcSight Enterprise Threat and Risk Management,43232620,Risk management data and analysis software,N
4828,13-1199.07,Security Management Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
4829,13-1199.07,Security Management Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
4840,13-1199.07,Security Management Specialists,Splunk Enterprise,43232806,Cloud-based management software,Y
4843,13-1199.07,Security Management Specialists,Tenable Nessus,43233206,Cloud-based protection or security software,N
4984,13-2011.00,Accountants and Auditors,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
4986,13-2011.00,Accountants and Auditors,Microsoft Visio,43231518,Process mapping and design software,Y
5071,13-2011.00,Accountants and Auditors,Thomson Reuters Risk Management,43232620,Risk management data and analysis software,N
5109,13-2023.00,Appraisers and Assessors of Real Estate,Govern Software GovMap,43232510,Geographic information system,N
5175,13-2031.00,Budget Analysts,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
5322,13-2051.00,Financial and Investment Analysts,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
5325,13-2051.00,Financial and Investment Analysts,Microsoft Visio,43231518,Process mapping and design software,Y
5631,13-2054.00,Financial Risk Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
5634,13-2054.00,Financial Risk Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
5745,13-2061.00,Financial Examiners,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
5746,13-2061.00,Financial Examiners,Microsoft Visio,43231518,Process mapping and design software,Y
5946,13-2099.01,Financial Quantitative Analysts,Microsoft Visio,43231518,Process mapping and design software,Y
5962,13-2099.04,"Fraud Examiners, Investigators and Analysts",ArcSight Enterprise Threat and Risk Management,43232620,Risk management data and analysis software,N
5975,13-2099.04,"Fraud Examiners, Investigators and Analysts",Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
5977,13-2099.04,"Fraud Examiners, Investigators and Analysts",Microsoft Visio,43231518,Process mapping and design software,Y
5983,13-2099.04,"Fraud Examiners, Investigators and Analysts",Splunk Enterprise,43232806,Cloud-based management software,Y
6311,15-1211.01,Health Informatics Specialists,ESRI ArcGIS software,43232510,Geographic information system,Y
6330,15-1211.01,Health Informatics Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
6332,15-1211.01,Health Informatics Specialists,Microsoft Visio,43231518,Process mapping and design software,Y
6389,15-1212.00,Information Security Analysts,ArcSight Enterprise Threat and Risk Management,43232620,Risk management data and analysis software,N
6488,15-1212.00,Information Security Analysts,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
6493,15-1212.00,Information Security Analysts,Microsoft Visio,43231518,Process mapping and design software,Y
6545,15-1212.00,Information Security Analysts,Qualys Cloud Platform,43233206,Cloud-based protection or security software,N
6722,15-1221.00,Computer and Information Research Scientists,Splunk Enterprise,43232806,Cloud-based management software,Y
6813,15-1231.00,Computer Network Support Specialists,Microsoft SharePoint,43233513,Cloud-based data access and sharing software,Y
